职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
嵌入式软件工程师-成都(J10266),中科芯集成电路,"['0.000000', '0.000000']",167102488,1.2-2万,成都,硕士,在校生/应届生,国企,电子技术/半导体/集成电路,2025-10-20 10:28:30,12.0,20.0,16.0,0.0,0.0,成都,,5,0.0
嵌入式软件开发（浙江绍兴）（成都）,浙江捷昌线性驱动科技,"['29.525223', '120.842252']",168433045,8千-1.5万,绍兴-新昌县,本科,在校生/应届生,民营,机械/设备/重工,2025-09-30 11:08:02,8.0,15.0,11.5,29.525223,120.842252,绍兴,新昌县,4,0.0
嵌入式硬件工程师-成都(J10265),中科芯集成电路,"['0.000000', '0.000000']",167102579,1.2-2万,成都,硕士,在校生/应届生,国企,电子技术/半导体/集成电路,2025-10-20 10:28:29,12.0,20.0,16.0,0.0,0.0,成都,,5,0.0
嵌入式助理工程师（软件&硬件）,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561176,6千-1万,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:36:00,6.0,10.0,8.0,31.34106,120.890399,昆山,,4,0.0
软件开发（成都）,苏州旭创科技,"['30.766059', '103.906372']",167370431,1.8-3.6万·15薪,成都-高新区,硕士,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-10-09 16:30:45,18.0,36.0,27.0,30.766059,103.906372,成都,高新区,5,0.0
嵌入式软件开发4（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168094926,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:55:41,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5,0.0
Linux系统软件工程师（有经验）,成都熊谷加世电器,"['30.764109', '103.916966']",159507828,18-28万/年,成都-郫都区,硕士,1年及以上,民营,机械/设备/重工,2025-11-22 13:09:16,180.0,280.0,230.0,30.764109,103.916966,成都,郫都区,5,1.0
嵌入式软件工程师（地点：上海）（成都）,苏州顺芯半导体,"['31.186858', '121.43842']",161144177,1.4-2.2万,上海-徐汇区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-26 08:51:51,14.0,22.0,18.0,31.186858,121.43842,上海,徐汇区,4,0.0
嵌入式软件设计师（成都）,中国航空无线电电子研究所,"['30.690852', '103.963028']",168008933,1-2万,成都-青羊区,硕士,在校生/应届生,事业单位,政府/公共事业,2025-12-27 04:23:32,10.0,20.0,15.0,30.690852,103.963028,成都,青羊区,5,0.0
算法助理工程师（嵌入式方向）,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561189,6-8千,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:35:58,6.0,8.0,7.0,31.34106,120.890399,昆山,,4,0.0
嵌入式Linux开发工程师,成都科立创智能科技,"['30.552939', '104.052905']",161072190,50元/天,成都-高新区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-10-30 15:52:44,,,,30.552939,104.052905,成都,高新区,4,0.0
嵌入式软件开发3（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090429,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:23,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5,0.0
软件开发工程师（C/C++-成都）,中国信息通信科技集团,"['30.645848', '104.044352']",167923325,,成都,本科,在校生/应届生,国企,通信/电信/网络设备,2025-12-26 05:00:39,,,,30.645848,104.044352,成都,,4,0.0
嵌入式硬件开发(浙江绍兴)（成都）,浙江捷昌线性驱动科技,"['29.525223', '120.842252']",168433164,8千-1.5万,绍兴-新昌县,本科,在校生/应届生,民营,机械/设备/重工,2025-09-30 11:10:28,8.0,15.0,11.5,29.525223,120.842252,绍兴,新昌县,4,0.0
C/Qt/C++工程师,中国信息通信科技集团,"['30.660779', '104.093178']",168155130,,成都,本科,在校生/应届生,国企,通信/电信/网络设备,2025-12-27 04:22:29,,,,30.660779,104.093178,成都,,4,0.0
